Nes,rep,N,r,window_1,window_2
0.0,63,1000,0.0001,0.029572748823441224,0.029367550945547265
1.0,9,1000,0.0001,0.02585985939596987,0.021056609500475106
5.0,12,1000,0.0001,0.03023952827441386,0.031330617651882706
30.0,43,1000,0.0001,0.027208270293514785,0.026669461332066713
2.0,44,1000,0.0001,0.02817284077003864,0.026544668556428026
8.0,36,1000,0.0001,0.027220301867093472,0.02720324691334571
0.0,183,1000,0.0001,0.03397443311165568,0.028945256370818635
30.0,19,1000,0.0001,0.03034095963498181,0.030231775500775115
22.0,41,1000,0.0001,0.028865035610780757,0.023998038963948316
18.0,20,1000,0.0001,0.01874951052152615,0.027622699709985585
0.5,21,1000,0.0001,0.02740160864343224,0.03046087696884852
24.0,18,1000,0.0001,0.030600672663633265,0.023385338767938513
0.0,200,1000,0.0001,0.030027713537677005,0.024783748375418926
25.0,9,1000,0.0001,0.02199284899544988,0.028226812327616507
1.0,45,1000,0.0001,0.02093113798289926,0.025676937654882857
0.0,2,1000,0.0001,0.019960992307615506,0.027694506364318396
0.0,245,1000,0.0001,0.027767810882544246,0.02840915504075216
5.0,22,1000,0.0001,0.028911236043802337,0.029295276983849386
28.0,17,1000,0.0001,0.026043121324066335,0.030726829198460034
0.0,133,1000,0.0001,0.030802235599780146,0.0317679666063304
18.0,27,1000,0.0001,0.030297579236961934,0.027273504056202824
0.0,125,1000,0.0001,0.03161476009100471,0.029723006344317463
24.0,35,1000,0.0001,0.030643325177258953,0.02649098162508138
30.0,30,1000,0.0001,0.023835086541327082,0.03096418211910609
0.0,37,1000,0.0001,0.014883986572328683,0.018844250686534413
200.0,8,1000,0.0001,0.026097861863093312,0.03072592848442437
10.0,48,1000,0.0001,0.028013893073653845,0.030457618854942903
24.0,27,1000,0.0001,0.020349950662533364,0.02114423460073011
25.0,2,1000,0.0001,0.03096597460173015,0.029589840047002526
28.0,37,1000,0.0001,0.022410246711335683,0.023566878943947305
50.0,16,1000,0.0001,0.02748662786539332,0.02223679308765445
0.0,179,1000,0.0001,0.02465624611830599,0.019133984792239732
20.0,37,1000,0.0001,0.0280123498334918,0.023834772887644438
0.5,17,1000,0.0001,0.021544769222461197,0.013818370539527112
0.0,67,1000,0.0001,0.021185774316715967,0.02309163773288679
28.0,1,1000,0.0001,0.028892624394219774,0.026598206416321005
12.0,18,1000,0.0001,0.03207370068803449,0.029522493069653592
0.5,7,1000,0.0001,0.02023814585029264,0.018540067927396466
0.5,12,1000,0.0001,0.026404395793789753,0.02408633381469078
28.0,47,1000,0.0001,0.02303587393169674,0.029810374412720723
25.0,49,1000,0.0001,0.026748908790439656,0.030574475851792682
12.0,0,1000,0.0001,0.028334718064903383,0.031941945610280666
18.0,5,1000,0.0001,0.024873541497074974,0.021788764889244545
1.0,23,1000,0.0001,0.02928642680734042,0.03052883816490832
5.0,37,1000,0.0001,0.02847769506075316,0.025855653246662513
20.0,7,1000,0.0001,0.02905354298814959,0.026373262197110017
0.05,46,1000,0.0001,0.028487900037001947,0.02573716928446436
